TUNE_IDX,WINDOW_LIMIT,LATENT_DIM,HIDDEN_DIM,TOKEN_CUTS,MIN_BASE_TOKEN_REPRESENATION,MAX_TOKENS_PER_BASE_TOKEN,PHYS_IMPRESSION_TOKENS,RNN_TYPE,EMBED_DROPOUT,RNN_LAYERS,NUM_EPOCHS,ES_PATIENCE,IMBALANCE_CORRECTION,OUTCOME_LABEL,LEARNING_RATE,BATCH_SIZE,REPEAT,FOLD
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,1,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,1,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,1,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,1,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,1,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,2,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,2,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,2,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,2,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,2,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,3,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,3,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,3,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,3,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,3,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,4,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,4,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,4,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,4,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,4,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,5,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,5,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,5,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,5,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,5,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,6,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,6,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,6,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,6,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,6,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,7,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,7,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,7,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,7,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,7,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,8,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,8,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,8,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,8,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,8,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,9,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,9,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,9,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,9,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,9,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,10,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,10,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,10,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,10,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,10,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,11,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,11,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,11,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,11,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,11,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,12,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,12,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,12,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,12,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,12,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,13,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,13,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,13,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,13,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,13,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,14,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,14,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,14,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,14,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,14,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,15,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,15,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,15,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,15,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,15,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,16,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,16,2
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,16,3
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,16,4
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,16,5
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,17,1
25,6,256,128,20,None,None,True,LSTM,0.2,1,200,30,weights,TomorrowTILBasic,0.001,1,17,2
